Q: RLMT: Is reinforcement learning an effective approach for neural machine translation
A: Not with most currently used RL methods

Scores:
Order of scoring: Evan, 
Bert: 6
Alberta: 5
Distilbert: 5
USE: 5

en_trf_bertbaseuncased_lg
en_trf_bertbaseuncased_lg1	Is reinforcement learning an effective approach for neural machine translation	Fourth  our controlled simulations show that asymptotic convergence is not reached in any but the easiest conditions (§5.1). Our analysis further suggests that gradient clipping  sometimes used in NMT (Zhang et al  2016; Wieting et al  2019)  is expected to hinder convergence further.It should be avoided when using REINFORCE as it violates REINFORCE’s assumptions.	0.7221140546933564
en_trf_bertbaseuncased_lg0	Is reinforcement learning an effective approach for neural machine translation	From here follows that if R is constant with respect to θ  then the expected ∆θ prescribed by REINFORCE is zero.We note that r may be shifted by a constant term (called a “baseline”)  without affecting the optimal value for θ. REINFORCE is used in MT  text generation  and image-to-text tasks (Liu et al  2016; Wu et al  2018; Rennie et al  2017; Shetty et al  2017; Hendricks et al  2016) – in isolation  or as a part of training .	0.7258945489121336
en_trf_bertbaseuncased_lg0	Is reinforcement learning an effective approach for neural machine translation	We return to this point in §7.Fur- thermore  given their findings  it is reasonable to assume that our results are relevant for RL use in other generation tasks  whose output space too is discrete  high-dimensional and concentrated. 4.1 CONTROLLED SIMULATIONS  We experiment with a 1-layer softmax model  that predicts a single token i ∈ V with probability eθi j eθjθ = {θj}j∈V are the model’s parameters.	0.7268375713893207
en_trf_bertbaseuncased_lg1	Is reinforcement learning an effective approach for neural machine translation	Another contribution of this paper is in showing that CMRT does not optimize the expected reward and is thus theoretically unmotivated. A number of reasons lead us to believe that in our NMT experiments  improvements are not due to the reward function  but to artefacts such as PKE.First  reducing a constant baseline from r  so as to make the expected reward zero  disallows learning.	0.7279934273799147
en_trf_bertbaseuncased_lg0	Is reinforcement learning an effective approach for neural machine translation	This tradeoff explains the importance of tuning α reported in the literature.In §6 we present simulations with CMRT  showing very similar trends as presented by REINFORCE. k  3 MOTIVATING DISCUSSION  Implementing a stochastic gradient ascent  REINFORCE is guaranteed to converge to a stationary point of R under broad conditions.	0.7294867163959248
en_trf_bertbaseuncased_lg0	Is reinforcement learning an effective approach for neural machine translation	 Caccia et al (2018) recently observed in the context of language modeling using GANs that per- formance gains similar to those GAN yield can be achieved by decreasing the temperature for the prediction softmax (i.e.  making it peakier).However  they proposed no causes for this effect.Our findings propose an underlying mechanism leading to this trend.	0.7304413143257851
en_trf_bertbaseuncased_lg1	Is reinforcement learning an effective approach for neural machine translation	 Second  using both naturalistic experiments and carefully constructed simulations  we show that performance gains observed in the literature likely stem not from making target tokens the most probable  but from unrelated effects  such as increasing the peakiness of the output distribution (i.e.  the probability mass of the most probable tokens).We do so by comparing a setting where the reward is informative  vs. one where it is constant.In §4 we discuss this peakiness effect (PKE).	0.7309738561457275
en_trf_bertbaseuncased_lg0	Is reinforcement learning an effective approach for neural machine translation	The model was pretrained on WMT2015 training data .Hyperparameters are reported in Appendix A.3. We define one of the tokens in V to be the target token and denote it with ybest.We assign deterministic token reward  this makes learning easier than when relying on approximations and our predictions optimistic.	0.7362608602843627
en_trf_bertbaseuncased_lg0	Is reinforcement learning an effective approach for neural machine translation	 We also assume there is exactly one valid target token  as de facto  training is done against a single reference .In practice  either a token-level reward is approximated using Monte- Carlo methods (e.g.  Yang et al  2018)  or a sentence-level (sparse) reward is given at the end of the episode (sentence).The latter is equivalent to a uniform token-level reward.	0.7444878802239189
en_trf_bertbaseuncased_lg2	Is reinforcement learning an effective approach for neural machine translation	In fact  our results suggest that RL practices in MT are likely to improve performance only where the pre-trained parameters are already close to yielding the correct translation.Our findings further suggest that observed gains may be due to effects unrelated to the training signal  concretely  changes in the shape of the distribution curve. 1  INTRODUCTION  Reinforcement learning (RL) is an appealing path for advancement in Machine Translation (MT)  as it allows training systems to optimize non-differentiable score functions  common in MT evaluation  as well as tackling the “exposure bias”  in standard training  namely that the model is not exposed during training to incorrectly generated tokens  and is thus unlikely to recover from generating such tokens at test time.	0.7481603598708125
